"idstd","id","a4a","a6a","a2","a1c","competition_select","tax_select","vat_applicable","a4b_v4","a0","a3a","a6c","a7","a1a","a14d","a14m","a14y","a14h","a14min","ic1","a20y","a20m","a20d","a1","a12","a7a","a7b","a11","a7c","a9","b1","b1x","b3a","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6b","b7","b7a","b8","b8x","c3","c4","c5","c31","c32","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c33","c34","c34b","c34bx","c152","c162","c172","c35a","c35b","c22b","c36","c37","c38","c39","c40a","c40b","c41a","c41b","c42","c30a","d1a1a","d1a6a","d1a6b","d1a6c","d1a6cx","d1a3","d2","d2x","d2a1","d2a1x","n3","n3x","d3a","d3b","d3c","d32","d4a","d4b","d33a","d33b","d34","d35","d36a","d36b","d37","d8","d12a","d12b","d13","d39","d14a","d14b","d40a","d40b","d41","d30a","d30b","o1","o2","o3a","o3b","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","e1","e2b","e31a","e31b","e6","e11","e32","e33","e34","e35","e30","h1","h2","h3x","h4x","h5","h6x","h7x","h8","h9","f1","g2","g3","g4","g31","g32","g33","g5a","g5b","g5bx","g30a","ge3","ge3a","ge7","ge8d","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","n5b","k5a","k5a1","k5i","k5i1","k5bc","k5bc1","k5e","k5e1","k5f","k5f1","k5hdj","k5hdj1","k4b","n5c","n5d","k6","k7","k82","k9","k10","k11","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k162","k17","k20a1","k31","k32","k21","k33","k34","k35","k36","k37","k38","k39","k40","k30","j31","j2","j3","j4","j5","j32","j33","j34","j35a","j35b","j36","j37","j38","j39","j40","j6a","j41","j42","j43","j7a","j7b","j10","j11","j12","j13","j14","j15","j30a","j30b","j30c","j30e","j30f","h30","i30","j30_taxrate_pos","j30_taxadmin_pos","j30_permit_pos","j30_instability_pos","j30_corruption_pos","j30_courts_pos","j30_crime_pos","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l9b","l9b1","l10","l11a","l11a1","l11b","l11b1","l12a","l12a1","l31","l32","l33","l34","l35","l36","l1a","l6","l6a","l8","l37","l38","l39","l40","l41","l30a","l30b","m1a","m1a_finance_pos","m1a_land_pos","m1a_permit_pos","m1a_corruption_pos","m1a_courts_pos","m1a_crime_pos","m1a_trade_pos","m1a_electricity_pos","m1a_workforce_pos","m1a_labor_pos","m1a_instability_pos","m1a_informal_pos","m1a_taxadmin_pos","m1a_taxrate_pos","m1a_transport_pos","n2a","n2a2","n2b","n2k","n2l","n2e","n2i","n2a1","n2e1","n7a","n11","n12","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","a13","a3b","a3c","a3","d1a2_v4","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata","a6b","d31x","d38x"
"1185403","5942","Retail","Large","Red River Delta","Establishment","1","1","Yes","Printing and reproduction of recorded media","Manufacturing","Red River Delta","210","No","Vietnamese","27","9","2023","10","53","Yes","2022","12","31","99","MKEInt_HN18","","","","","","Sole proprietorship","","Yes","100","0","0","0","Yes","100","2005","180","2005","18","Yes","No","","No","","","","7150","Yes","1","Don't know (spontaneous)","Don't know (spontaneous)","1","","Yes","1","No","","","","87","Cubic meters","","No","","","","","Yes","Yes","One day or less","20000000","Yes","Don't know (spontaneous)","","None","","With little difficulty","Minor obstacle","Manufacturing of ","","","","","100","119000000000","One hundred and nineteen billion","95454910000","Ninety-five billion, four hundred and fifty-four million, nine hundred and ten thousand","137523334000","One hundred thirty-seven billion, five hundred twenty-three million, three hundred thirty-four thousand","100","0","0","","","","","","","","","","","","100","0","","","","","","","","Minor obstacle","Minor obstacle","No","","Tend to disagree","Tend to disagree","Does not apply (spontaneous)","No","","Yes","Don't know (spontaneous)","Don't know (spontaneous)","Only senior managers","Yes","Their team's or shift performance","Promotions were based solely on performance and ability","After 6 months of identifying non-manager under-performance","National â main product sold mostly across the country where establishment is located","10","Between 50% and 90%","","No","Yes","Yes, there is more competition","Yes","Yes","Not at all","Minor obstacle","Yes","No","New product lines are introduced to the market","completely new","Yes","logistics process sales process","Applying new processes reduces manual labor","No","","Don't know (spontaneous)","No","","","No","","","","","","No obstacle","No","","No","Don't know (spontaneous)","30","30","0","30","10","No","","","","","","","","","","","","","","","No","","","Yes","Yes","Yes, both a line of credit and a loan","Private commercial banks","2023","8000000000","Yes","No","Yes","No","No","Yes","8000000000","5","10000000000","No","Yes, both a line of credit and a loan","","Application was approved in full","30000000","15","No","80","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","2","Don't know (spontaneous)","90","Internet and mobile banking, including direct debit transfer","2","Minor obstacle","Strongly agree","No time was spent","Yes","1","No","No","","No","130","","Yes, fully","Yes, fully","Don't know (spontaneous)","","","No","","No","","Don't know (spontaneous)","","No","","","No","","","No obstacle","No obstacle","No obstacle","Minor obstacle","No obstacle","No obstacle","No obstacle","3","1","6","4","5","7","2","210","180","Don't know (spontaneous)","Don't know (spontaneous)","200","Don't know (spontaneous)","Don't know (spontaneous)","170","Don't know (spontaneous)","","100","","Yes","Don't know (spontaneous)","","Don't know (spontaneous)","","Don't know (spontaneous)","","Don't know (spontaneous)","","","Don't know (spontaneous)","","","Don't know (spontaneous)","Don't know (spontaneous)","","","Don't know (spontaneous)","","","Don't know (spontaneous)","","Don't know (spontaneous)","Does not apply","Tax rates","10","1","8","4","14","12","9","15","13","11","3","2","6","5","7","19500000000","3258000000","140000000","20000000","50000000","Don't know (spontaneous)","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","20","5","27","9","2023","10","54","Somewhat truthful","Are estimates computed with some precision","Several visits","4","0","4","Yes","Yes","","1811","Red River Delta","Large (100 or more)","Retail","Fresh","2.8373010158539","11.32696723938","12.750560760498","64","Large","",""
"1185404","6114","Retail","Large","Red River Delta","Establishment","1","1","Yes","Retail","Retail services","Red River Delta","212","No","Vietnamese","4","10","2023","13","58","Yes","2022","12","31","99","MKEInt_HN13","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2005","20","2005","18","No","No","","No","","","","29100","Yes","0","","","None","","No","","No","","","","76","Cubic meters","","No","","","","","Yes","No","","","Yes","Less than 1 hour","30","None","","With no difficulty at all","Very severe obstacle","Retail trade of ","","","","","100","250941115000","Two hundred and fifty billion, nine hundred and forty-one million, one hundred and fifteen thousand","","","286552000000","Two hundred eighty-six billion five hundred fifty-two million.","100","0","0","","","","","","","","","","","","10","90","Yes","Airport","2","","4","","4","Major obstacle","Major obstacle","No","","Tend to disagree","Tend to disagree","We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance","Don't know (spontaneous)","","Don't know (spontaneous)","","","","Yes","Their own performance","Promotions were based solely on performance and ability","Within 6 months of identifying non-manager under-performance","Local â main product sold mostly in same municipality where establishment is located","Too many to count","Don't know (spontaneous)","","No","No","Yes, there is more competition","Don't know (spontaneous)","Don't know (spontaneous)","","Moderate obstacle","No","","","","No","","","No","","","No","","","No","","","Don't know (spontaneous)","","","Major obstacle","No","","No","No","87","13","0","0","0","Yes","1775368000","0","100","","0","","0","","0","","0","","0","","","","","Yes","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","","","","","","","Don't know (spontaneous)","Yes, a line of credit only","","Application was approved in full","","","No","Don't know (spontaneous)","","","","","Don't know (spontaneous)","","","Moderate obstacle","Tend to disagree","Don't know (spontaneous)","No","","","","","No","Don't know (spontaneous)","","Yes, fully","Yes, fully","Don't know (spontaneous)","","","No","","No","","No payments or gifts are paid","","No","","","No","","","Minor obstacle","Does not apply","Does not apply","Does not apply","No obstacle","No obstacle","No obstacle","5","6","7","3","4","1","2","212","Don't know (spontaneous)","","","20","30","162","","","170","15","","Yes","","","","","","40","Don't know (spontaneous)","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","Yes","Don't know (spontaneous)","No obstacle","Major obstacle","Don't know (spontaneous)","11","6","15","3","10","8","12","4","13","1","14","2","7","9","5","17692123000","3898000000","7209000000","155000000","12500000","","Don't know (spontaneous)","","","","20","10","5","10","2023","8","23","Somewhat truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","4","Yes","Yes","","4721","Red River Delta","Large (100 or more)","Retail","Fresh","2.8373010158539","11.32696723938","12.750560760498","64","Large","","New Zealand"
"1185405","6138","Other Services","Small","Red River Delta","Establishment","0","0","Yes","Non-metallic mineral products","Manufacturing","Red River Delta","1","No","Vietnamese","17","6","2023","7","39","Yes","2022","12","31","99","MKEInt18","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2005","10","2005","43","No","No","","No","","","","175","Yes","0","","","1","","No","","No","","","","300","Cubic meters","","No","","","","","Yes","No","","","Yes","10","","2","","Unable to change provider","Very severe obstacle","Manufacturing of ","","","","","90","5000000000","five billion","2000000000","two billion","2500000000","Two billion five hundred million","100","0","0","","","","","","","","","","","","60","40","No","","","","","","","Moderate obstacle","No obstacle","Yes","No","Don't know (spontaneous)","Strongly agree","","","","","","","","","","","","National â main product sold mostly across the country where establishment is located","5","","Don't know (spontaneous)","No","Yes","Yes, there is less competition","No","No","","Minor obstacle","No","","","","Yes","Sourcing better quality supplies. Previously were importing supplies from China, but now source them from Malaysia.","Sourcing better quality supplies. Previously were importing supplies from China, but now source them from Malaysia.","No","","70","Yes","One day or less","Yes","No","","","","","","Moderate obstacle","No","","No","No","70","0","0","30","0","No","","","","","","","","","","","","","","","No","","","No","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","","","No","97","Internet and mobile banking, including direct debit transfer","Payment received in less than a day","0","40","100","Internet and mobile banking, including direct debit transfer","0","No obstacle","Strongly disagree","No time was spent","Yes","3","Refusal (spontaneous)","No","","No","","8","Yes, fully","Yes, partially","No","","The establishment did not need to apply for a VAT cash refund","No","","No","","","10000000","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","4","1","7","2","5","3","6","12","12","8","4","0","2","6","3","2","","","12","No","","","","","","","No need to hire any new permanent full-time workers","","","No","","","3","2","2","3","No","","","No","","No obstacle","No obstacle","Transport","15","10","7","12","8","3","11","13","5","2","14","1","9","6","4","1400000000","84000000","35000000","0","3600000","2000000000","","1200000000","300000000","5000000000","3","2","17","6","2023","9","42","Truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","2","Yes","Yes","","2395","Red River Delta","Small (5-19)","Other Services","Fresh","269.12142944336","1086.8786621094","1273.4144287109","41","Micro","",""
"1185406","6200","Fabricated Metal Products","Large","Red River Delta","Establishment","0","1","Yes","Fabricated metal products","Manufacturing","Red River Delta","636","No","Vietnamese","23","9","2023","14","0","Yes","2022","12","31","99","MKEInt_HN12","","","","","","Shareholding company with non-traded shares or shares traded privately","","No","0","100","0","0","No","","2005","432","2005","13","No","Yes","ISO 9001- 2015","No","","","","610542","Yes","1","12","20","Don't know (spontaneous)","","Don't know (spontaneous)","","No","","","","1315","Cubic meters","","No","","","","","Yes","No","","","Yes","8","","Don't know (spontaneous)","","There is only one available internet provider","Major obstacle","Manufacturing of ","","","","","100","368662000000","Three hundred sixty eight billion six hundred sixty two million","386250000000","Three hundred eighty six billion two hundred fifty million","320595000000","Three hundred and twenty billion, five hundred and ninety-five million","5","0","95","Seaport","2","","2","","Don't know (spontaneous)","Don't know (spontaneous)","","","","2006","5","95","Yes","Seaport","Don't know (spontaneous)","","Don't know (spontaneous)","","Don't know (spontaneous)","Moderate obstacle","Moderate obstacle","No","","Tend to agree","Does not apply (spontaneous)","We fixed it and took action to make sure it did not happen again","No","","Yes","Main focus was on long-term (one year or more) production targets","Possible to achieve with normal amount of effort","Most managers and most production workers","No","","Don't know (spontaneous)","Does not apply (spontaneous)","International","Don't know (spontaneous)","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","Major obstacle","No","","","","No","","","No","","98","No","","","No","","","","","","Don't know (spontaneous)","No","","No","No","100","0","0","0","0","Yes","8855000000","0","100","","0","","0","","0","","0","","0","","Don't know (spontaneous)","","","Yes","Yes","Yes, both a line of credit and a loan","Don't know (spontaneous)","Don't know (spontaneous)","Refusal (spontaneous)","Don't know (spontaneous)","","","","","","","Don't know (spontaneous)","","Don't know (spontaneous)","Don't know (spontaneous)","","","","","Yes","100","Internet and mobile banking, including direct debit transfer","3","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","Don't know (spontaneous)","Strongly agree","Don't know (spontaneous)","Don't know (spontaneous)","","","","","No","5","","Yes, fully","Yes, fully","Yes","One week or less","","No","","No","","No payments or gifts are paid","","No","","","No","","","Minor obstacle","Moderate obstacle","Moderate obstacle","Major obstacle","Major obstacle","Does not apply","Major obstacle","6","3","4","5","7","2","1","595","550","433","162","33","28","372","268","75","","72","","No","","","","","","","41","41","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","Minor obstacle","Moderate obstacle","Practices of competitors in the informal sector","11","3","14","5","9","2","13","12","10","4","15","7","8","1","6","86972000000","16164000000","13030000000","336000000","Don't know (spontaneous)","Don't know (spontaneous)","","70508000000","Don't know (spontaneous)","Don't know (spontaneous)","Refusal (spontaneous)","Don't know (spontaneous)","23","9","2023","16","40","Somewhat truthful","Are in some case taken from books and in some case estimates","One visit in face-to-face interview with different managers/staff","3","40","4","Yes","Yes","","2593","Red River Delta","Large (100 or more)","Fabricated Metal Products","Fresh","2.4288158416748","8.3640775680542","9.0184898376465","60","Large","Japan","Japan"
"1185407","6547","Construction","Large","Red River Delta","Establishment","0","1","Yes","Specialized construction activities","Other services","Red River Delta","41","No","Vietnamese","10","10","2023","8","37","Yes","2022","12","31","99","MKEInt_HN16","","","","","","Sole proprietorship","","Yes","100","0","0","0","Yes","100","2005","10","2005","37","No","No","","No","","","","500","No","","","","","","Yes","70","No","","","","20","Cubic meters","","No","","","","","No","No","","","No","","","","","There is only one available internet provider","Minor obstacle","Construction of","","","","","100","18437218000","eighteen billion four hundred thirty-seven million two hundred and eighteen thousand","","","31087536000","thirty-one billion eighty-seven million five hundred thirty-six thousand","100","0","0","","","","","","","","","","","","0","100","No","","","","","","","Moderate obstacle","Moderate obstacle","No","","Strongly disagree","Don't know (spontaneous)","Does not apply (spontaneous)","Don't know (spontaneous)","","No","","","","No","","Does not apply (spontaneous)","Does not apply (spontaneous)","National â main product sold mostly across the country where establishment is located","Too many to count","","Don't know (spontaneous)","No","No","No change","Prices are regulated","Yes","Positively","Minor obstacle","No","","","","No","","","No","","","No","","","No","","","","","","No obstacle","No","","No","No","50","50","0","0","0","No","","","","","","","","","","","","","","","","","","Yes","No","Yes, both a line of credit and a loan","State-owned banks or government agency","2023","8000000000","Yes","No","No","No","Yes","No","12000000000","Don't know (spontaneous)","","No","Yes, a loan only","","Application was approved in full","45000000","7","No","0","","","","","0","","","Minor obstacle","Strongly agree","No time was spent","No","","","","","Yes, fully","80","","Yes, fully","Yes, fully","VAT refund not available","","","No","","No","","No payments or gifts are paid","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","1","5","2","7","6","4","3","44","39","","","24","10","10","","","7","100","","No","","","","","","","No need to hire any new permanent full-time workers","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","No obstacle","Minor obstacle","Business licensing and permits","1","5","13","11","12","9","3","6","4","8","14","15","2","7","10","6167035000","634885000","88000000","12000000","3600000","","","","","","20","8","10","10","2023","12","20","Truthful","Are taken directly from establishment records","Several visits","3","0","4","Yes","Yes","","4312","Red River Delta","Large (100 or more)","Construction","Fresh","18.347686767578","64.862228393555","74.892288208008","65","Medium","",""
"1185408","6652","Food","Medium","Red River Delta","Establishment","0","0","Yes","Wholesale","Other services","Red River Delta","22","No","Vietnamese","30","9","2023","10","21","Yes","2022","12","31","99","MKEInt_HN9","","","","","","Sole proprietorship","","Yes","100","0","0","0","Yes","100","2005","22","2005","20","Yes","Yes","ISO9001; ISO22000","No","","","","5700","Yes","Don't know (spontaneous)","","","5","","No","","No","","","","5","Cubic meters","","No","","","","","No","No","","","Yes","2","","5","","With little difficulty","No obstacle","Wholesale trade of ","","","","","100","77439772000","seventy-seven billion four hundred thirty-nine million seven hundred seventy-two thousand","","","87726989000","eighty-seven billion seven hundred and twenty-six million nine hundred and eighty-nine thousand","0","0","100","Seaport","Less than one day","5","1","","Don't know (spontaneous)","No","","","","2005","70","30","Yes","Seaport","1","","1","","Don't know (spontaneous)","No obstacle","Moderate obstacle","No","","Strongly agree","Tend to agree","We fixed it and took action to make sure it did not happen again","No","","No","","","","No","","Does not apply (spontaneous)","Rarely or never","International","Too many to count","","","No","No","No change","No","Yes","Don't know (spontaneous)","No obstacle","No","","","","No","","","No","","","No","","","No","","","","","","Don't know (spontaneous)","No","","No","No","10","70","0","20","0","Yes","896363000","0","100","","0","","0","","0","","0","","0","","","","","Yes","Yes","Yes, a line of credit only","State-owned banks or government agency","2022","25000000000","Yes","Yes","No","No","No","No","15000000000","1","12000000000","No","Yes, a line of credit only","","Application was approved in full","","","No","100","Internet and mobile banking, including direct debit transfer","5","1","Don't know (spontaneous)","95","Other","1","No obstacle","Strongly agree","No time was spent","No","","","","","No","","35","Yes, fully","Yes, fully","No","","Other","No","","No","","No payments or gifts are paid","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","2","4","1","3","7","5","6","22","25","","","2","5","15","","","13","100","","No","","","","","","","No need to hire any new permanent full-time workers","","","Yes","4","No severance was paid","0","No full-time seasonal or temporary workers","","","No","","","No","","Moderate obstacle","Moderate obstacle","Access to finance","2","12","1","3","14","15","13","11","8","9","4","10","6","7","5","5804336000","414530000","144542000","1785000","8520000","","","","","","0","10","30","9","2023","13","44","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","4","Yes","Yes","","4630","Red River Delta","Medium (20-99)","Food","Fresh","4.5250949859619","15.395342826843","16.563791275024","43","Medium","United States of America","Argentina"
"1185409","7633","Garments","Small","Red River Delta","Establishment","1","0","Yes","Retail","Retail services","Red River Delta","5","No","Vietnamese","23","10","2023","14","12","Yes","2022","12","31","99","MKEInt_HN23","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2006","5","2006","10","No","No","","No","","","","4500","No","","","","","","No","","No","","","","10","Cubic meters","","No","","","","","Yes","No","","","Don't know (spontaneous)","","","","","With no difficulty at all","No obstacle","Retail trade of ","","","","","100","249750000","Two hundred forty-nine million seven hundred fifty thousand","","","16000000","Sixteen million","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","","","","","","Local â main product sold mostly in same municipality where establishment is located","Don't know (spontaneous)","Below 50%","","No","No","No change","No","No","","Don't know (spontaneous)","No","","","","No","","","No","","","No","","","No","","","50","Square Meters","","No obstacle","No","","No","No","100","0","0","0","0","No","","","","","","","","","","","","","","","","","","Yes","No","No","","","","","","","","","","","","","No","No","Interest rates were not favorable","","","","No","70","Internet and mobile banking, including direct debit transfer","Payment received in less than a day","0","60000","90","Internet and mobile banking, including direct debit transfer","0","No obstacle","Strongly agree","Don't know (spontaneous)","No","","","","","Yes, fully","","Don't know (spontaneous)","Yes, fully","Yes, fully","VAT refund not available","","","No","","No","","No payments or gifts are paid","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","1","5","2","3","6","7","4","5","5","","","2","2","1","","","5","","5","No","","","","","","","No need to hire any new permanent full-time workers","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","No obstacle","No obstacle","Don't know (spontaneous)","5","15","2","13","9","12","11","6","1","8","4","14","3","7","10","80000000","Don't know (spontaneous)","20000000","2000000","1500000","","Don't know (spontaneous)","","","","20","10","23","10","2023","14","41","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with different managers/staff","4","1","4","Yes","Yes","","4771","Red River Delta","Small (5-19)","Garments","Fresh","12.41357421875","54.36967086792","64.080017089844","33","Small","",""
"1185410","8576","Retail","Medium","Red River Delta","Establishment","1","1","Yes","Wholesale","Other services","Red River Delta","14","No","Vietnamese","11","10","2023","14","35","Yes","2022","12","31","99","MKEInt_HN4","","","","","","Sole proprietorship","","Yes","100","0","0","0","Yes","100","2007","27","2007","20","Yes","No","","No","","","","7911","Yes","1","0","15","Don't know (spontaneous)","","Yes","Don't know (spontaneous)","No","","","","50","Cubic meters","","No","","","","","Yes","Yes","One day or less","Don't know (spontaneous)","Yes","Less than 1 hour","30","None","","With no difficulty at all","No obstacle","Wholesale trade of ","","","","","69","31884621000","thirty-one billion, eight hundred eighty-four million, six hundred twenty-one thousand","","","22132441000","twenty-two billion one hundred thirty-two million four hundred forty-one thousand","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Strongly disagree","Strongly disagree","","","","","","","","","","","","National â main product sold mostly across the country where establishment is located","Don't know (spontaneous)","Between 50% and 90%","","No","No","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","No obstacle","No","","","","No","","","No","","","No","","","No","","","","","","No obstacle","No","","No","No","40","25","0","0","35","No","","","","","","","","","","","","","","","","","","Yes","Yes","Yes, both a line of credit and a loan","Private commercial banks","2021","4850000000","Yes","No","No","No","Yes","No","12000000000","1","4836000000","No","Yes, a line of credit only","","Application was approved in full","","","No","80","Internet and mobile banking, including direct debit transfer","10","0","220000","80","Internet and mobile banking, including direct debit transfer","0","No obstacle","Tend to agree","4","No","","","","","No","300","","Yes, fully","Yes, partially","VAT refund not available","","","No","","No","","Don't know (spontaneous)","","No","","","No","","","Major obstacle","Moderate obstacle","Does not apply","No obstacle","No obstacle","No obstacle","Minor obstacle","6","7","5","3","1","2","4","12","14","","","6","6","0","","","11","100","","Don't know (spontaneous)","","","","","","","Don't know (spontaneous)","","","Don't know (spontaneous)","","","0","No full-time seasonal or temporary workers","","","No","","","No","","No obstacle","Minor obstacle","Practices of competitors in the informal sector","15","9","11","3","14","10","13","2","12","8","5","7","4","1","6","987714000","72575000","183050000","3600000","3200000","","","","","","20","10","14","10","2023","14","34","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","4","Yes","Yes","","4649","Red River Delta","Medium (20-99)","Retail","Fresh","6.4344067573547","24.79097366333","26.250535964966","51","Small","",""
"1185411","9139","Construction","Small","Red River Delta","Establishment","0","1","Yes","Civil engineering","Other services","Red River Delta","10","No","Vietnamese","11","10","2023","9","6","Yes","2022","12","31","99","MKEInt_HN19","","","","","","Sole proprietorship","","Yes","100","0","0","0","Yes","100","2007","15","2007","22","No","No","","No","","","","500","No","","","","","","No","","No","","","","20","Cubic meters","","No","","","","","No","No","","","No","","","","","With no difficulty at all","No obstacle","Construction of","","","","","100","30134028000","thirty billion one hundred thirty-four million twenty-eight thousand","","","11819000000","eleven billion eight hundred and nineteen million","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","Minor obstacle","No","","Strongly disagree","Strongly disagree","","","","","","","","","","","","Local â main product sold mostly in same municipality where establishment is located","Too many to count","","20","No","Yes","Yes, there is more competition","No","No","","Major obstacle","No","","","","No","","","No","","","No","","","No","","","","","","No obstacle","No","","No","No","70","10","0","20","0","No","","","","","","","","","","","","","","","","","","No","No","No","","","","","","","","","","","","","No","No","Application procedures were complex","","","","No","50","Internet and mobile banking, including direct debit transfer","Payment received in less than a day","0","30000","50","Internet and mobile banking, including direct debit transfer","0","Minor obstacle","Strongly disagree","No time was spent","No","","","","","Yes, partially","2","","Yes, fully","Yes, fully","No","","The establishment did not need to apply for a VAT cash refund","No","","No","","No payments or gifts are paid","","No","","","No","","","Major obstacle","Minor obstacle","Minor obstacle","Very severe obstacle","Very severe obstacle","Minor obstacle","Major obstacle","4","7","6","2","3","5","1","8","8","","","2","3","3","","","5","","8","No","","","","","","","No need to hire any new permanent full-time workers","","","No","","","0","10","2","Don't know (spontaneous)","No","","","No","","Minor obstacle","Minor obstacle","Access to finance","4","13","15","12","14","7","11","5","6","8","10","2","1","3","9","1100000000","90000000","30000000","3000000","12000000","","","","","","25","10","11","10","2023","10","0","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","4","Yes","Yes","","4210","Red River Delta","Small (5-19)","Construction","Fresh","89.26245880127","331.41241455078","388.8271484375","39","Small","",""
"1185412","9841","Other Services","Large","Northern Midlands and Mountains","Establishment","0","0","Yes","Wholesale","Other services","Northern Midlands and Mountains","155","No","Vietnamese","30","9","2023","8","20","Yes","2022","12","31","99","MKEInt23","","","","","","Shareholding company with non-traded shares or shares traded privately","","Yes","28","0","72","0","No","","2006","55","2006","20","No","No","","No","","","","300000","Yes","3","2","10","Don't know (spontaneous)","","Yes","10","No","","","","300","Cubic meters","","No","","","","","Yes","No","","","Yes","Don't know (spontaneous)","","Don't know (spontaneous)","","With no difficulty at all","Major obstacle","Wholesale trade of ","","","","","100","2600000000000","Two trillion six hundred billion","","","1300000000000","One trillion three hundred billion","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","Does not apply","No","","Strongly agree","Strongly agree","We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance","No","","Yes","Combination of short term and long term production targets","Only possible to achieve with extraordinary effort","All managers and most production workers","No","","Don't know (spontaneous)","Don't know (spontaneous)","National â main product sold mostly across the country where establishment is located","Too many to count","","60","No","No","Yes, there is more competition","Prices are regulated","Yes","Positively","No obstacle","No","","","","No","","","No","","","Yes","15","Refusal (spontaneous)","No","","","","","","Moderate obstacle","No","","Yes","Yes","60","0","0","40","0","Yes","Don't know (spontaneous)","Don't know (spontaneous)","100","","0","","0","","0","","0","","0","","","","","Yes","No","No","","","","","","","","","","","","","No","No","Don't know (spontaneous)","","","","Yes","80","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","Minor obstacle","Strongly agree","Don't know (spontaneous)","No","","","","","No","","Don't know (spontaneous)","Yes, fully","Yes, fully","VAT refund not available","","","Yes","Moderately difficult","Yes","30","Refusal (spontaneous)","","No","","","No","","","Moderate obstacle","Moderate obstacle","Moderate obstacle","Major obstacle","Major obstacle","Does not apply","Major obstacle","6","2","7","1","4","5","3","155","140","","","130","25","0","","","30","100","","Yes","","","","","100","","No need to hire any new permanent full-time workers","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","No obstacle","No obstacle","Political instability","12","13","5","4","8","10","11","9","7","3","1","14","15","6","2","16000000000","Don't know (spontaneous)","600000000","60000000","30000000","","","","","","20","10","30","9","2023","10","5","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","1","No","No","","4661","Northern Midlands and Mountains","Large (100 or more)","Other Services","Fresh","4.0358448028564","13.495638847351","16.031000137329","89","Large","",""
