"idstd","id","preference","rotation","a0","a1","a1a","a2","a3a","a3a2","a3b","a3c","a3","a4a","a4b","a5","a6a","a6b","a7","a7a","a8a","a9","a10","a11","a11a","a12","a13","a14d","a14m","a14y","a14h","a14min","eaa3a3w","eaa3a3x","eaa3a3y","eaa3a3z","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1x","d1a2","d1a3","d2","d2x","n3","n3x","d3a","d3b","d3c","d4","ead4a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d16","d17","d30a","d30b","e1","e2b","e6","e11","e30","h1","h2","eah2x","eah2a","eah4a","eah4b","eah4c","eah10","eah11a","eah11b","h3","h4a","h4b","eah12a","eah12b","eah13","h5","eah14a","eah14b","eah14c","h6","h7","h8","eah15","eah16","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","n5b","k5a","k5i","k5bc","k5e","k5f","k5hdj","k5a1","k5i1","k5bc1","k5e1","k5f1","k5hdj1","k6","k7","k8","k9","k10","k11","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","k20a1","k21","k30","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a","l4b","eal4c","eal4d","eal5a","eal5b","eal5c","eal5d","eal5s","l5a","l5b","l5","eal5a1","eal5a2","eal5b1","eal5b2","l6","l6a","l8","l9a","l9a2","l9b","l10","eal10a","eal10b","eal11a","eal11b","eal11c","eal11d","eal12","eal13","eal14","eal15a","eal16a","eal17a","myal17","myal18a","myal18b","myal18c","myal18d","myal18e","myal18x","myal24","myal25a","myal25b","myal25c","myal25d","myal25e","myal25x","eal15b","eal16b","eal17b","myal32a","myal32b","myal32c","myal32d","myal32e","myal32x","eal15c","eal16c","eal17c","myal39a","myal39b","myal39c","myal39d","myal39e","myal39x","eal15d","eal16d","eal17d","myal46a","myal46b","myal46c","myal46d","myal46e","myal46x","eal18a","eal18b","eal18c","eal18d","eal18e","eal18f","eal18g","eal19","eal20","myal52a1","myal52a2","myal52b","myal52c","myal52d","l30a","l30b","m1a","n2a","n2e","n2f","n2b","n2i","n2p","n6a","n6b","n7a","n7b","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","eava0","stratificationregioncode","stratificationsizecode","stratificationsectorcode","panelcode","wstrict","wmedian","wweak","strata","l11a","l11b"
"598856","122","50","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","Yes","City with population over 1 million","22","22","Yes, screener and sample frame info match","Small","Small","No","1","","","","","","309","501","18","3","2015","14","55","","","2014","2012","Sole proprietorship","","100","100","0","0","0","Yes","100","2006","10","Yes","2006","20","Yes","No","","No","","","No","","","","","","No","","No","","","No","","","Yes","Yes","No obstacle","Minor obstacle","do catalogue, print ads, brochures","2222","95","1400000000","one billion four hundred million","500000000","five hundred million","100","0","0","","","","","","0","0","100","0","","","10","","Minor obstacle","Don't know (spontaneous)","National â main product sold mostly across the country where establishment is located","-4","No","Yes","Major obstacle","Yes","No","floating logo","12","Yes","Yes","Yes","Entirely by this establishment","No","No","Yes","Yes","No","No","Yes","Entirely by this establishment","No","","","","Yes","No","","No","No","90","70","0","100","0","0","100","0","No","","","","","","No obstacle","Yes","1","","No","","","No obstacle","0","80","100","0","0","0","0","No","","","","","","","","","","","","","","","Yes","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","Yes","Moderate obstacle","Strongly agree","0","Yes","2","No","No","","Don't know (spontaneous)","","No","","","No","","","Minor obstacle","Minor obstacle","No obstacle","Minor obstacle","No obstacle","No obstacle","10","7","8","2","5","3","2","0","1","1","0","0","","2","0","","","","","","4","0","Don't know (spontaneous)","11","11","100","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","2","No obstacle","No obstacle","Don't know (spontaneous)","450000000","Don't know (spontaneous)","Don't know (spontaneous)","35000000","","485000000","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","director","9","Female","","","","","","","18","3","2015","15","42","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Other Manufacturing","Fresh","66.761489868164","86.692291259766","171.06489562988","89","",""
"598857","141","39","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","Yes","City with population over 1 million","26","26","Yes, screener and sample frame info match","Small","Medium","No","1","","","","","","317","401","14","10","2015","15","8","","","2014","2012","Limited partnership","","50","100","0","0","0","Yes","50","2004","10","Yes","2004","11","No","No","","No","","","Yes","1","1","0","Don't know (spontaneous)","","No","","No","","","No","","","Yes","Yes","No obstacle","No obstacle","manufacture of  unfired brick for building house or constructing road","2695","100","5000000000","five billion","3000000000","three billion","100","0","0","","","","","","0","0","100","0","","","10","","Minor obstacle","No obstacle","National â main product sold mostly across the country where establishment is located","Don't know (spontaneous)","No","Yes","Moderate obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","Yes","No","","No","No","95","52","100","0","0","100","0","0","No","","","","","","No obstacle","No","","","No","","","No obstacle","0","50","100","0","0","0","0","Yes","400000000","0","0","0","100","0","0","0","","","","","","","Yes","No","Yes","Private commercial banks","2014","400000000","Yes","Yes","No","No","No","No","400000000","400","400000000","No","Yes","","Application was approved in full","No","No obstacle","Tend to disagree","2","No","","","No","","5","","No","","","No","","","Moderate obstacle","No obstacle","No obstacle","No obstacle","Minor obstacle","No obstacle","24","20","20","4","20","0","4","0","10","0","2","0","","10","2","","","","","","0","","","7","7","40","No","No need for formal training programs","","","","","","No","No","Yes","0","","","","","","","","","","","","","","","","","0","","","","","","","","","4","4","3","No","Yes","No","No","No","","4","4","3","No","Yes","No","No","Don't know (spontaneous)","","Does not apply","Does not apply","Does not apply","Difficult","Does not apply","Does not apply","Does not apply","0","","0","0","20","0","4","No obstacle","No obstacle","Transport","1500000000","2000000000","30000000","100000000","","4000000000","500000000","5000000000","Don't know (spontaneous)","Don't know (spontaneous)","director","11","Male","","","","","","","14","10","2015","17","10","Somewhat truthful","Are in some case taken from books in some case estimates","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Non-Metallic Mineral Products","Fresh","11.906809806824","14.947937965393","34.234783172607","86","",""
"598858","143","42","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","No","Less than 50.000","26","26","Yes, screener and sample frame info match","Small","Medium","No","1","","","","","","321","501","1","10","2015","10","3","","","2014","2012","Sole proprietorship","","100","100","0","0","0","No","","2004","20","Yes","2004","10","No","No","","No","","","No","","","","","","No","","No","","","No","","","Yes","No","No obstacle","No obstacle","manufacture of  ceramic, pottery, pot","2693","100","3000000000","three billion","4000000000","four billion","80","20","0","","","","","2008","0","0","100","0","","","1","","No obstacle","Don't know (spontaneous)","National â main product sold mostly across the country where establishment is located","-4","No","Yes","Major obstacle","No","","","","","","","","No","No","No","Yes","No","Yes","No","Entirely by this establishment","No","","","","No","No","","No","No","80","49","0","100","0","0","100","0","No","","","","","","Does not apply","Yes","","40000000","No","","","No obstacle","20","40","80","0","0","20","0","No","","","","","","","","","","","","","","","No","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","No","Don't know (spontaneous)","Does not apply","0","Yes","1","No","No","","Refusal (spontaneous)","","No","","","No","","","No obstacle","No obstacle","Minor obstacle","No obstacle","Don't know (spontaneous)","Don't know (spontaneous)","20","12","14","6","14","0","6","0","4","0","0","0","","4","0","","","","","","0","","","8","8","30","Yes","","Technical skills (other than IT), vocational, or job-specific skills","100","0","0","0","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","No obstacle","No obstacle","Practices of competitors in the informal sector","1500000000","600000000","360000000","24000000","","2700000000","5000000","Don't know (spontaneous)","1500000000","10000000000","director","10","Male","","","","","","","1","10","2015","10","3","Truthful","Are in some case taken from books in some case estimates","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Non-Metallic Mineral Products","Fresh","11.906809806824","14.947937965393","34.234783172607","86","",""
"598859","167","4","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","No","City with population over 1 million","26","26","Yes, screener and sample frame info match","Small","Medium","No","1","","","","","","311","804","11","12","2014","9","22","","","2013-2014","2011-2012","Sole proprietorship","","100","100","0","0","0","Yes","100","2004","120","Yes","2004","15","Yes","No","","No","","","No","","","","","","No","","No","","","No","","","No","No","No obstacle","No obstacle","brick manufacture","2692","30","3000000000","three billion","3000000000","three billion","100","0","0","","","","","","0","0","100","0","","","45","","No obstacle","No obstacle","Local â main product sold mostly in same municipality where establishment is located","-4","No","Yes","Minor obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","80","84","100","0","0","100","0","0","No","","","","","","No obstacle","Yes","Don't know (spontaneous)","","No","","","Minor obstacle","3","50","100","0","0","0","0","No","","","Don't know (spontaneous)","","Don't know (spontaneous)","","","Don't know (spontaneous)","","","","","","","No","No","Yes","State-owned banks or government agency","2013","3200000000","Yes","Yes","No","No","No","No","4000000000","1","","No","Yes","","Application was approved in full","No","No obstacle","Tend to disagree","0","Yes","1","No","No","","","Refusal (spontaneous)","No","","","No","","","Moderate obstacle","Minor obstacle","No obstacle","Minor obstacle","Minor obstacle","Minor obstacle","60","60","59","1","50","9","1","0","10","3","1","0","","","","","","","","","40","5","4","6","6","0","No","No need for formal training programs","","","","","","No","No","Yes","10","0","","Don't know (spontaneous)","","","","","","","Don't know (spontaneous)","","","","","","","0","","","","","","","","","0","","","","","","","","","0","","","","","","","","","Does not apply","Does not apply","Does not apply","Easy","Does not apply","Does not apply","Easy","0","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","No obstacle","No obstacle","Practices of competitors in the informal sector","1500000000","500000000","200000000","1000000000","","Don't know (spontaneous)","4000000000","50000000000","Don't know (spontaneous)","60000000000","owner","10","Female","","","","","","","11","12","2014","10","43","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Non-Metallic Mineral Products","Fresh","11.906809806824","14.947937965393","34.234783172607","86","",""
"598860","173","22","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","No","City with population over 1 million","26","26","Yes, screener and sample frame info match","Small","Medium","No","1","","","","","","308","804","21","3","2015","9","0","","","2013-2014","2011-2012","Sole proprietorship","","100","100","0","0","0","No","","2005","10","Yes","2005","4","No","No","","Yes","7","No","Yes","5","480","0","","90000000","Yes","1","No","","","No","","","Yes","Yes","No obstacle","Moderate obstacle","manufacture of enamel which has print pictures","2692","100","1100000000","one billion, one hundred million","850000000","eight hundred fifty million","100","0","0","","","","","","0","2","100","0","","","0","","No obstacle","Don't know (spontaneous)","Local â main product sold mostly in same municipality where establishment is located","4","No","No","Minor obstacle","No","","","","","","","","No","No","No","No","Yes","Yes","No","Entirely by this establishment","No","","","","No","No","","Yes","No","70","48","100","0","0","100","0","0","No","","","","","","Does not apply","Yes","","Don't know (spontaneous)","No","","","Minor obstacle","70","60","97","0","0","0","3","No","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","Yes","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","No","Moderate obstacle","Tend to disagree","0","No","","","No","","Refusal (spontaneous)","","No","","","No","","","No obstacle","No obstacle","Don't know (spontaneous)","No obstacle","No obstacle","Don't know (spontaneous)","23","13","10","13","5","5","6","7","0","0","3","3","","","","","","","","","0","","","12","Does not apply","100","No","No need for formal training programs","","","","","","Yes","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","5","0","0","No obstacle","No obstacle","Electricity","500000000","200000000","50000000","100000000","","1000000000","Don't know (spontaneous)","5000000000","1500000000","5000000000","accountant","4","Female","","","","","","","21","3","2015","10","4","Truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","The paper follow-up administered successfully","South East","Small (5-19)","Non-Metallic Mineral Products","Fresh","11.906809806824","14.947937965393","34.234783172607","86","",""
"598861","182","5","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","Yes","City with population over 1 million","27","27","Yes, screener and sample frame info match","Small","Small","No","1","","","","","","309","804","8","5","2015","10","34","","","2014","2012","Limited partnership","","60","100","0","0","0","No","","2009","2","Yes","2009","14","No","No","","No","","","No","","","","","","No","","Don't know (spontaneous)","","","No","","","Yes","No","No obstacle","No obstacle","manufacture of rolling iron","2710","100","23000000000","twenty three billion","16000000000","sixteen billion","100","0","0","","","","","","0","0","50","50","No","","15","","Minor obstacle","No obstacle","National â main product sold mostly across the country where establishment is located","12","No","No","Minor obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","70","48","0","100","0","0","100","0","No","","","","","","Minor obstacle","Yes","1","","No","","","No obstacle","30","50","70","30","0","0","0","No","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","No","No","Yes","State-owned banks or government agency","2010","700000000","Yes","No","No","No","Yes","No","1500000000","1","","No","No","Size of loan and maturity were insufficient","","No","Minor obstacle","Strongly agree","0","Yes","2","No","No","","Refusal (spontaneous)","","No","","","No","","","Minor obstacle","Don't know (spontaneous)","No obstacle","Don't know (spontaneous)","No obstacle","No obstacle","5","3","3","2","1","2","2","0","0","0","1","0","","0","1","","","","","","5","0","3","12","Does not apply","100","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","12","5","No obstacle","Minor obstacle","Transport","600000000","20000000000","600000000","30000000","","22000000000","1000000000","12000000000","2000000000","15000000000","director","11","Male","","","","","","","8","5","2015","11","14","Truthful","Are in some case taken from books in some case estimates","One visit in face-to-face interview with one person","","","The paper follow-up administered successfully","South East","Small (5-19)","Other Manufacturing","Fresh","66.761489868164","86.692291259766","171.06489562988","89","",""
"598862","185","37","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","No","Less than 50.000","28","28","Yes, screener and sample frame info match","Small","Medium","No","1","","","","","","314","502","20","3","2016","15","57","","","2014","2012","Sole proprietorship","","100","100","0","0","0","No","","2008","10","Yes","2008","15","No","Yes","iso 9001: 2000","No","","","No","","","","","","No","","No","","","No","","","Yes","No","Minor obstacle","Minor obstacle","manufacture iron and steel products","2892","100","77550000000","seventy- seven billion, five hundred and fifty four million","75890000000","seventy-five billion, eight hundred and eighty -nine million","100","0","0","","","","","","1","1","60","40","Yes","7","30","","Minor obstacle","Minor obstacle","National â main product sold mostly across the country where establishment is located","-4","No","No","Minor obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","100","48","0","100","0","0","100","0","No","","","","","","Minor obstacle","No","","","No","","","Minor obstacle","50","50","100","0","0","0","0","No","","","","","","","","","","","","","","","Yes","No","No","","","","","","","","","","","","","No","No","Application procedures were complex ","","No","Moderate obstacle","Tend to disagree","0","No","","","No","","Don't know (spontaneous)","","No","","","No","","","Minor obstacle","Minor obstacle","No obstacle","No obstacle","Don't know (spontaneous)","Don't know (spontaneous)","18","18","15","3","15","0","3","0","0","0","2","0","","0","2","","","","","","4","2","6","12","12","100","No","The quality of available training programs is low","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","20","0","3","Minor obstacle","Minor obstacle","Labor regulations","1544000000","48770000000","1100000000","963000000","","70700000000","3114000000","2510000000","18560000000","9541000000","officer","4","Male","","","","","","","20","3","2016","17","5","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Fabricated Metal Products","Fresh","37.321559906006","50.506885528564","84.03148651123","87","",""
"598863","187","25","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","No","City with population over 1 million","28","28","Yes, screener and sample frame info match","Small","Small","No","1","","","","","","308","501","21","3","2015","16","0","","","2013-2014","2011-2012","Sole proprietorship","","100","100","0","0","0","No","","2009","5","No","2009","6","No","No","","No","","","No","","","","","","Yes","1","No","","","Does not apply","","","Yes","No","Major obstacle","Minor obstacle","manufacture of iron, glass, aluminium, types of doors industry","2811","100","10400000000","ten billion four hundred million","Don't know (spontaneous)","","100","0","0","","","","","","1","0","100","0","","","Don't know (spontaneous)","","Moderate obstacle","Don't know (spontaneous)","Local â main product sold mostly in same municipality where establishment is located","-4","No","Yes","Major obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","40","42","0","100","0","0","100","0","No","","","","","","Does not apply","No","","","No","","","Minor obstacle","50","60","50","50","0","0","0","Yes","70000000","0","100","0","0","0","0","0","","","","","","","No","No","No","","","","","","","","","","","","","Yes","Yes","","Application was rejected","Yes","Major obstacle","Strongly disagree","0","Yes","1","Don't know (spontaneous)","No","","","Don't know (spontaneous)","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","Moderate obstacle","Minor obstacle","8","10","6","2","4","2","2","0","0","0","0","0","","0","0","","","","","","0","","","11","8","7","No","No need for formal training programs","","","","","","No","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","0","8","0","No obstacle","Minor obstacle","Electricity","Don't know (spontaneous)","Don't know (spontaneous)","10000000","24000000","","Don't know (spontaneous)","40000000","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","director","6","Male","","","","","","","26","3","2015","5","7","Truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","The paper follow-up administered successfully","South East","Small (5-19)","Fabricated Metal Products","Fresh","37.321559906006","50.506885528564","84.03148651123","87","",""
"598864","194","3","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","No","City with population over 1 million","28","28","Yes, screener and sample frame info match","Small","Medium","No","1","","","","","","308","804","9","12","2014","10","9","","","2013-2014","2011-2012","Sole proprietorship","","100","100","0","0","0","Yes","100","1997","10","No","2000","14","Yes","No","","Yes","7","No","No","","","","","","Yes","1","Yes","3","No","No","","","Yes","Yes","No obstacle","No obstacle","manufacture of tripod, trough, pinnier for holding rubber","2899","50","9000000000","nine billion","4000000000","four billion","100","0","0","","","","","","0","0","100","0","","","30","","No obstacle","Don't know (spontaneous)","National â main product sold mostly across the country where establishment is located","6","No","No","Minor obstacle","No","","","","","","","","No","No","No","Yes","No","Yes","No","Entirely by this establishment","No","","","","Yes","No","","No","No","70","48","100","0","0","100","0","0","No","","","","","","No obstacle","Yes","","1000000","No","","","Does not apply","30","50","60","20","0","20","0","No","","","Don't know (spontaneous)","","Don't know (spontaneous)","","","Don't know (spontaneous)","","","","","","","No","No","No","","","","","","","","","","","","","Yes","No","Collateral requirements were too high","","No","Moderate obstacle","Tend to agree","0","No","","","No","","","Refusal (spontaneous)","No","","","No","","","No obstacle","Don't know (spontaneous)","No obstacle","No obstacle","No obstacle","Don't know (spontaneous)","15","20","12","3","2","10","3","0","0","5","1","0","","","","","","","","","10","0","9","7","7","60","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","No obstacle","No obstacle","Practices of competitors in the informal sector","1000000000","3700000000","Don't know (spontaneous)","12000000","","6000000000","300000000","25000000000","Don't know (spontaneous)","Don't know (spontaneous)","director","21","Female","chief accountant","4","Female","","","","9","12","2014","12","7","Truthful","Are estimates computed with some precision","One visit in face-to-face interview with different managers/staff","3","50","","South East","Small (5-19)","Fabricated Metal Products","Fresh","37.321559906006","50.506885528564","84.03148651123","87","",""
"598865","207","31","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","Yes","City with population over 1 million","28","25","No, screener and sample frame do not match but establishment still does activities that match sample frame","Small","Small","No","1","","","","","","315","315","17","8","2015","10","13","","","2014","2012","Limited partnership","","70","100","0","0","0","Yes","30","2005","Don't know (spontaneous)","Yes","2005","25","No","No","","No","","","No","","","","","","Yes","Don't know (spontaneous)","No","","","No","","","Yes","No","Minor obstacle","Minor obstacle","making plastic injection by orders","2520","100","4300000000","four billion three hundred million","4000000000","four billion","100","0","0","","","","","","0","0","0","100","No","","5","","Minor obstacle","Minor obstacle","Local â main product sold mostly in same municipality where establishment is located","-4","No","Yes","Moderate obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","85","63","0","100","0","0","100","0","No","","","","","","No obstacle","Yes","","10000000","No","","","No obstacle","50","50","40","30","0","30","0","Yes","800000000","Don't know (spontaneous)","40","0","30","0","30","0","","","","","","","No","Yes","Yes","State-owned banks or government agency","2014","1200000000","Yes","No","No","No","Yes","No","Don't know (spontaneous)","1","","No","Yes","","Application was approved in full","No","Moderate obstacle","Tend to disagree","Don't know (spontaneous)","No","","","No","","","Don't know (spontaneous)","No","","","No","","","Minor obstacle","Minor obstacle","Minor obstacle","No obstacle","Don't know (spontaneous)","Minor obstacle","11","11","6","5","6","0","5","0","0","0","2","0","","0","2","","","","","","Don't know (spontaneous)","","","10","Does not apply","80","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","0","6","0","1","Moderate obstacle","Minor obstacle","Access to finance ","533000000","3400000000","Don't know (spontaneous)","360000000","","4290000000","3600000000","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","accountant","5","Female","","","","","","","17","8","2015","11","45","Somewhat truthful","Are in some case taken from books in some case estimates","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Fabricated Metal Products","Fresh","37.321559906006","50.506885528564","84.03148651123","87","",""
"598866","211","16","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","Yes","Yes","Over 250.000 to 1 million","28","28","Yes, screener and sample frame info match","Small","Small","Yes","Don't know (spontaneous)","No","No","No","","","242","52","25","9","2015","13","15","","","2014","2012","Shareholding company with non-traded shares or shares traded privately","","100","100","0","0","0","Yes","20","2010","10","Yes","2010","15","No","No","","No","","","Yes","1","2","0","3","","No","","No","","","No","","","Yes","No","Minor obstacle","No obstacle","structural metal products production","2811","95","5000000000","five billion","4200000000","four billion two hundred million","100","0","0","","","","","","0","0","60","40","Yes","5","Don't know (spontaneous)","","Moderate obstacle","Minor obstacle","National â main product sold mostly across the country where establishment is located","-4","No","No","Moderate obstacle","Don't know (spontaneous)","","","","","","","","No","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","Don't know (spontaneous)","No","Yes","Yes","Don't know (spontaneous)","Don't know (spontaneous)","","No","No","90","40","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","No","","","","","","Moderate obstacle","Don't know (spontaneous)","","","Don't know (spontaneous)","","","Major obstacle","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","No","","","","","","","","","","","","","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","","","","","","","Don't know (spontaneous)","Don't know (spontaneous)","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","Don't know (spontaneous)","","Don't know (spontaneous)","","Don't know (spontaneous)","","","Don't know (spontaneous)","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","15","14","13","2","13","0","2","0","3","0","2","0","","3","2","","","","","","Don't know (spontaneous)","","","11","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","2","0","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","4100000000","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","chief accountant","Don't know (spontaneous)","","","","","","","","30","10","2015","9","20","","","Several visits","2","0","","South East","Small (5-19)","Fabricated Metal Products","Fresh","37.321559906006","50.506885528564","84.03148651123","87","",""
"598867","214","18","","Manufacturing","99","Vietnamese","South East","South East","Vietnamese dong","No","No","Less than 50.000","28","28","Yes, screener and sample frame info match","Small","Medium","Yes","2","No","Yes","Yes","","","321","501","30","10","2015","14","14","","","2014","2012","Sole proprietorship","","100","0","100","0","0","No","","2009","4","No","2010","10","No","Yes","iso:9001","No","","","No","","","","","","No","","No","","","No","","","Yes","Yes","No obstacle","No obstacle","manufacture of  metal details, car accessories","2891","70","23000000000","twenty three billion","15000000000","fifteen billion","5","0","95","1","No","0","0","2009","0","0","70","30","Yes","5","1","","No obstacle","Moderate obstacle","International ","","Yes","Yes","Moderate obstacle","No","","","","","","","","No","No","No","No","No","","","","Yes","Yes","No","No","Yes","No","","Yes","No","100","44","0","100","0","0","100","0","No","","","","","","Does not apply","Yes","","1520000000","No","","","Minor obstacle","30","100","50","50","0","0","0","Yes","4000000","0","90","0","0","0","10","0","","","","","","","No","No","No","","","","","","","","","","","","","No","Yes","","Application was approved in full","Yes","No obstacle","Does not apply","10","No","","","No","","","Don't know (spontaneous)","No","","","Yes","20","No","No obstacle","No obstacle","Minor obstacle","No obstacle","Don't know (spontaneous)","Don't know (spontaneous)","27","20","21","6","4","17","6","0","1","16","2","0","","17","2","","","","","","5","5","3","12","12","100","Yes","","Technical skills (other than IT), vocational, or job-specific skills","100","0","0","0","No","No","Yes","0","","","","","","","","","","","","","","","","","0","","","","","","","","","2","0","","Yes","Yes","Yes","No","No","","0","","","","","","","","","Very difficult","Difficult","Easy","Difficult","Difficult","Easy","Difficult","2","Yes","5","0","7","20","8","Minor obstacle","Moderate obstacle","Practices of competitors in the informal sector","1400000000","7500000000","Don't know (spontaneous)","100000000","","9000000000","2300000000","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","executive director","6","Male","","","","","","","30","10","2015","15","22","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","","South East","Small (5-19)","Fabricated Metal Products","Fresh","37.321559906006","50.506885528564","84.03148651123","87","",""
